candidate_id,candidate_type,game_id,game_pk,market_ticker,event_ticker,market_type,settlement_horizon,side,candidate_line_value,resolved_line_value,selected_team_abbr,status,blocked_reason,eligible_for_paper,created_at,inning,half_inning,outs,score_away_at_candidate,score_home_at_candidate,entry_yes_bid,entry_yes_ask,entry_side_price,spread_cents,overall_watch_score,trigger_event_type,trigger_description,final_away_score,final_home_score,final_total,game_status,game_is_final,f5_away_score,f5_home_score,f5_total,f5_innings_seen,f5_has_all_5,market_yes_means,market_no_means,market_contract_direction,market_semantics_confidence,market_is_semantics_clear,market_spread_value,market_line_value,settlement_status,settlement_reason,settled_yes_value,settled_side_value,hold_to_settle_win,hold_to_settle_pnl_cents,hold_to_settle_roi,market_inferred_yes,market_inferred_reason,market_inferred_avg_price,market_inferred_at,market_inferred_source,context_source,team_strength_metric,team_strength_col,team_strength_bucket,offense_metric,offense_col,offense_bucket,recent_form_metric,recent_form_col,recent_form_bucket,bullpen_risk_metric,bullpen_risk_col,bullpen_risk_bucket,runs_per_game_context,runs_allowed_context,runs_needed_team_inferred,runs_needed_team_bucket,runs_needed_total_inferred,runs_needed_total_bucket
1040,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM7,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,7.0,NYM,blocked,wide_spread_hard_block: spread=84c > 12c,0,2026-06-16T19:56:21.198561,3,top,2,1,4,12,96,96,84,34.6,trailing_team_total_lag,NYM trails 4-1 in inning 3; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-96,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,,,missing,44.1,bullpen_risk_rating,slightly_low_40_50,4.0,4.319,6.0,need_6_plus,2.0,need_2
1081,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM7,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,7.0,NYM,blocked,wide_spread_hard_block: spread=79c > 12c,0,2026-06-16T20:12:23.054884,4,top,0,1,4,16,95,95,79,34.6,trailing_team_total_lag,NYM trails 4-1 in inning 4; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-95,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,,,missing,44.1,bullpen_risk_rating,slightly_low_40_50,4.0,4.319,6.0,need_6_plus,2.0,need_2
1384,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC3,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,3.0,CHC,blocked,team_lag_observe_only,0,2026-06-16T21:38:32.141792,5,top,3,5,2,82,92,92,10,37.0,trailing_team_total_lag,CHC trails 5-2 in inning 5; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-92,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,1.0,need_0_1,-4.0,need_0_1
1379,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC3,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,3.0,CHC,blocked,rally_still_active,0,2026-06-16T21:36:31.842467,5,top,1,4,2,83,90,90,7,46.1,trailing_team_total_lag,CHC trails 4-2 in inning 5; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-90,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,1.0,need_0_1,-3.0,need_0_1
1398,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC3,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,3.0,CHC,blocked,rally_still_active,0,2026-06-16T21:44:34.341183,5,bottom,2,5,2,80,87,87,7,43.7,trailing_team_total_lag,CHC trails 5-2 in inning 5; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-87,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,1.0,need_0_1,-4.0,need_0_1
1012,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM4,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,4.0,NYM,blocked,wide_spread_hard_block: spread=35c > 12c,0,2026-06-16T19:43:20.907086,2,bottom,2,0,4,50,85,85,35,27.8,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-85,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,,,missing,44.1,bullpen_risk_rating,slightly_low_40_50,4.0,4.319,4.0,need_4,0.0,need_0_1
1385,trailing_team_total_lag_watch,MIN@TEX,822888,KXMLBTEAMTOTAL-26JUN162005MINTEX-TEX3,KXMLBTEAMTOTAL-26JUN162005MINTEX,team_total,full_game,YES,,3.0,TEX,blocked,rally_still_active,0,2026-06-16T21:39:32.157076,5,bottom,1,10,2,78,85,85,7,50.9,trailing_team_total_lag,TEX trails 10-2 in inning 5; team total may be lagging,12,2,14,Final,1,10,2,12,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-85,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,50.7,team_strength_rating,50_55,42.4,offense_rating,40_45,,,missing,42.6,bullpen_risk_rating,slightly_low_40_50,3.986,3.931,1.0,need_0_1,-9.0,need_0_1
1419,trailing_team_total_lag_watch,MIN@TEX,822888,KXMLBTEAMTOTAL-26JUN162005MINTEX-TEX3,KXMLBTEAMTOTAL-26JUN162005MINTEX,team_total,full_game,YES,,3.0,TEX,blocked,wide_spread_hard_block: spread=28c > 12c,0,2026-06-16T21:54:35.947168,6,bottom,1,10,2,57,85,85,28,36.1,trailing_team_total_lag,TEX trails 10-2 in inning 6; team total may be lagging,12,2,14,Final,1,10,2,12,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-85,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,50.7,team_strength_rating,50_55,42.4,offense_rating,40_45,,,missing,42.6,bullpen_risk_rating,slightly_low_40_50,3.986,3.931,1.0,need_0_1,-9.0,need_0_1
1029,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,5.0,NYM,blocked,wide_spread_hard_block: spread=47c > 12c,0,2026-06-16T19:52:21.063294,3,top,2,0,4,37,84,84,47,31.3,trailing_team_total_lag,NYM trails 4-0 in inning 3; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-84,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,,,missing,44.1,bullpen_risk_rating,slightly_low_40_50,4.0,4.319,5.0,need_5,1.0,need_0_1
1044,trailing_team_total_lag_watch,NYM@CIN,824504,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,YES,,5.0,NYM,blocked,wide_spread_hard_block: spread=48c > 12c,0,2026-06-16T19:58:21.235225,3,top,3,1,4,36,84,84,48,30.8,trailing_team_total_lag,NYM trails 4-1 in inning 3; team total may be lagging,3,5,8,Final,1,1,5,6,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-84,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,48.9,team_strength_rating,45_50,40.7,offense_rating,40_45,,,missing,44.1,bullpen_risk_rating,slightly_low_40_50,4.0,4.319,4.0,need_4,0.0,need_0_1
1407,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC3,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,3.0,CHC,blocked,rally_still_active,0,2026-06-16T21:49:34.468391,5,bottom,2,5,2,78,84,84,6,49.2,trailing_team_total_lag,CHC trails 5-2 in inning 5; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-84,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,1.0,need_0_1,-4.0,need_0_1
1411,trailing_team_total_lag_watch,COL@CHC,824667,KXMLBTEAMTOTAL-26JUN162005COLCHC-CHC3,KXMLBTEAMTOTAL-26JUN162005COLCHC,team_total,full_game,YES,,3.0,CHC,blocked,team_lag_observe_only,0,2026-06-16T21:50:35.156180,5,bottom,3,5,2,79,84,84,5,51.1,trailing_team_total_lag,CHC trails 5-2 in inning 5; team total may be lagging,5,2,7,Final,1,5,2,7,"1,2,3,4,5",True,team_total_over,team_total_under,team_total_over_yes,1.0,1,,,score_derived,team_total_yes_means_over_or_at_least_score_derived,0,0,0,-84,-1.0,,latest_market_price_not_settled,50.5,2026-06-17T04:47:15.038464+00:00,rest_batch,latest_team,51.0,team_strength_rating,50_55,49.9,offense_rating,45_50,,,missing,43.8,bullpen_risk_rating,slightly_low_40_50,4.575,4.438,1.0,need_0_1,-4.0,need_0_1
