candidate_id,game,derivative_type,market_ticker,original_label,replayed_label,process_grade,side,bid,ask,mid,spread_cents,tape_label,raw_edge_cents,entry_price_cents,entry_friction_cents,exit_friction_cents,spread_penalty_cents,thin_tape_penalty_cents,conservative_fee_buffer_cents,conservative_net_edge_cents,paper_take_eligible,friction_fail_reason,hedge_alternative_cost_cents
807,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
808,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,suppress,bad_process,YES,28,29,28,1,usable_tape,71,29,1,1,0,0,5,64,True,,72
809,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
810,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,suppress,bad_process,YES,28,29,28,1,usable_tape,71,29,1,1,0,0,5,64,True,,72
811,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
812,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,watch,suppress,bad_process,YES,28,29,28,1,usable_tape,71,29,1,1,0,0,5,64,True,,72
813,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,blocked,questionable_process,YES,28,29,28,1,usable_tape,71,29,1,1,0,0,5,64,True,,72
814,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,observe,bad_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
815,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
816,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,suppress,bad_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
