id,candidate_type,game_pk,game_id,market_ticker,event_ticker,market_type,settlement_horizon,selected_team_abbr,line_value,side,decision_time,available_data_cutoff,mlb_play_event_id,trigger_event_type,trigger_description,inning,half_inning,outs,score_away,score_home,runners_state,entry_yes_bid,entry_yes_ask,entry_no_bid,entry_no_ask,spread_cents,expected_fill_price,market_mismatch_score,baseball_support_score,execution_quality_score,risk_blocker_score,overall_watch_score,confidence_breakdown_json,baseball_context_json,market_context_json,guardrails_json,blocked_reason,eligible_for_paper,status,created_at,updated_at,dedupe_key,first_seen_at,last_seen_at,seen_count,opening_price_cents,current_mid_price_cents,price_delta_from_open_cents,has_baseline_price,implied_probability_open,implied_probability_current,baseline_explanation,baseline_source,baseline_quality,derivative_type,read_type,selected_derivative_type,derivative_rationale,rejected_derivatives_json
1018,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM8,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,bottom,3,0,4,,7,62,,,55,,25.0,48.0,0.0,15.0,34.6,"{""market_mismatch"": 25.0, ""baseball_support"": 48.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 34.6}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=55c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=55c > 12c,0,blocked,2026-06-16T19:46:20.959333,2026-06-16T19:46:20.959333,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM8|trailing_team_total_lag_watch|2|bottom|0|4|blocked|wide_spread_hard_block: spread=55c > 12c|35,2026-06-16T19:46:20.959301,2026-06-16T19:46:20.959301,1,24,34,10,1,0.24,0.34,"Market moved +10¢ from open (24¢ → 34¢). Spread is 55¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1017,trailing_team_total_lag_watch,823451,MIA@PHI,KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA3,KXMLBTEAMTOTAL-26JUN161840MIAPHI,team_total,full_game,MIA,,YES,,,,trailing_team_total_lag,MIA trails 7-0 in inning 4; team total may be lagging,4,bottom,1,0,7,,25,37,,,12,,25.0,50.0,0.0,15.0,35.2,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 35.2}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [""wide_spread_observe_only: spread=12c""], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",team_lag_blowout,0,blocked,2026-06-16T19:46:20.957578,2026-06-16T19:46:20.957578,MIA@PHI|KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA3|trailing_team_total_lag_watch|4|bottom|0|7|blocked|team_lag_blowout|30,2026-06-16T19:46:20.957554,2026-06-16T19:46:20.957554,1,0,31,31,1,0.0,0.31,"Market moved +31¢ from open (0¢ → 31¢). Current spread is 12¢, observe-only. First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1016,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,bottom,2,0,4,,36,47,,,11,,25.0,48.0,10.0,15.0,37.1,"{""market_mismatch"": 25.0, ""baseball_support"": 48.0, ""execution_quality"": 10.0, ""risk_blocker"": 15.0, ""overall_watch"": 37.1}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [""wide_spread_observe_only: spread=11c""], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",team_lag_observe_only,0,blocked,2026-06-16T19:45:20.937699,2026-06-16T19:45:20.937699,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5|trailing_team_total_lag_watch|2|bottom|0|4|blocked|team_lag_observe_only|40,2026-06-16T19:45:20.937671,2026-06-16T19:45:20.937671,1,57,42,-15,1,0.57,0.42,"Market moved -15¢ from open (57¢ → 42¢). Current spread is 11¢, observe-only. First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1015,trailing_team_total_lag_watch,823451,MIA@PHI,KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA7,KXMLBTEAMTOTAL-26JUN161840MIAPHI,team_total,full_game,MIA,,YES,,,,trailing_team_total_lag,MIA trails 7-0 in inning 4; team total may be lagging,4,top,3,0,7,,7,40,,,33,,25.0,50.0,0.0,15.0,35.2,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 35.2}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=33c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=33c > 12c,0,blocked,2026-06-16T19:45:20.935870,2026-06-16T19:45:20.935870,MIA@PHI|KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA7|trailing_team_total_lag_watch|4|top|0|7|blocked|wide_spread_hard_block: spread=33c > 12c|25,2026-06-16T19:45:20.935848,2026-06-16T19:45:20.935848,1,0,24,24,1,0.0,0.24,"Market moved +24¢ from open (0¢ → 24¢). Spread is 33¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1014,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM7,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,bottom,2,0,4,,9,49,,,40,,25.0,48.0,0.0,15.0,34.6,"{""market_mismatch"": 25.0, ""baseball_support"": 48.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 34.6}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=40c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=40c > 12c,0,blocked,2026-06-16T19:44:20.923323,2026-06-16T19:44:20.923323,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM7|trailing_team_total_lag_watch|2|bottom|0|4|blocked|wide_spread_hard_block: spread=40c > 12c|30,2026-06-16T19:44:20.923281,2026-06-16T19:44:20.923281,1,0,29,29,1,0.0,0.29,"Market moved +29¢ from open (0¢ → 29¢). Spread is 40¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1013,trailing_team_total_lag_watch,823451,MIA@PHI,KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA4,KXMLBTEAMTOTAL-26JUN161840MIAPHI,team_total,full_game,MIA,,YES,,,,trailing_team_total_lag,MIA trails 7-0 in inning 4; team total may be lagging,4,top,3,0,7,,9,52,,,43,,25.0,50.0,0.0,15.0,35.2,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 35.2}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=43c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=43c > 12c,0,blocked,2026-06-16T19:44:20.921211,2026-06-16T19:44:20.921211,MIA@PHI|KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA4|trailing_team_total_lag_watch|4|top|0|7|blocked|wide_spread_hard_block: spread=43c > 12c|30,2026-06-16T19:44:20.921162,2026-06-16T19:44:20.921162,1,0,30,30,1,0.0,0.3,"Market moved +30¢ from open (0¢ → 30¢). Spread is 43¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1012,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM4,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,bottom,2,0,4,,50,85,,,35,,2.0,48.0,0.0,15.0,27.8,"{""market_mismatch"": 2.0, ""baseball_support"": 48.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 27.8}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=35c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=35c > 12c,0,blocked,2026-06-16T19:43:20.907086,2026-06-16T19:43:20.907086,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM4|trailing_team_total_lag_watch|2|bottom|0|4|blocked|wide_spread_hard_block: spread=35c > 12c|70,2026-06-16T19:43:20.907052,2026-06-16T19:43:20.907052,1,67,68,1,1,0.67,0.68,"Market moved +1¢ from open (67¢ → 68¢). Spread is 35¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1011,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM8,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,bottom,1,0,4,,7,53,,,46,,24.0,48.0,0.0,15.0,34.3,"{""market_mismatch"": 24.0, ""baseball_support"": 48.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 34.3}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=46c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=46c > 12c,0,blocked,2026-06-16T19:42:20.893773,2026-06-16T19:42:20.893773,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM8|trailing_team_total_lag_watch|2|bottom|0|4|blocked|wide_spread_hard_block: spread=46c > 12c|30,2026-06-16T19:42:20.893723,2026-06-16T19:42:20.893723,1,24,30,6,1,0.24,0.3,"Market moved +6¢ from open (24¢ → 30¢). Spread is 46¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1010,trailing_team_total_lag_watch,823451,MIA@PHI,KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA3,KXMLBTEAMTOTAL-26JUN161840MIAPHI,team_total,full_game,MIA,,YES,,,,trailing_team_total_lag,MIA trails 7-0 in inning 4; team total may be lagging,4,top,2,0,7,,32,39,,,7,,25.0,50.0,50.0,0.0,50.0,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 50.0, ""risk_blocker"": 0.0, ""overall_watch"": 50.0}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": true, ""blocked_reason"": null, ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block"", ""wide_spread_observe_only"", ""rally_still_active"", ""market_nearly_settled""]}",team_lag_blowout,0,blocked,2026-06-16T19:42:20.848993,2026-06-16T19:42:20.848993,MIA@PHI|KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA3|trailing_team_total_lag_watch|4|top|0|7|blocked|team_lag_blowout|35,2026-06-16T19:42:20.848939,2026-06-16T19:42:20.848939,1,0,36,36,1,0.0,0.36,"Market moved +36¢ from open (0¢ → 36¢). Spread is 7¢. First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1009,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,top,3,0,4,,36,58,,,22,,25.0,48.0,0.0,15.0,34.6,"{""market_mismatch"": 25.0, ""baseball_support"": 48.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 34.6}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=22c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=22c > 12c,0,blocked,2026-06-16T19:41:20.834297,2026-06-16T19:41:20.834297,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM5|trailing_team_total_lag_watch|2|top|0|4|blocked|wide_spread_hard_block: spread=22c > 12c|45,2026-06-16T19:41:20.834243,2026-06-16T19:41:20.834243,1,57,47,-10,1,0.57,0.47,"Market moved -10¢ from open (57¢ → 47¢). Spread is 22¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1008,trailing_team_total_lag_watch,823451,MIA@PHI,KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA3,KXMLBTEAMTOTAL-26JUN161840MIAPHI,team_total,full_game,MIA,,YES,,,,trailing_team_total_lag,MIA trails 7-0 in inning 4; team total may be lagging,4,top,1,0,7,,9,64,,,55,,25.0,50.0,0.0,15.0,35.2,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 35.2}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=55c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=55c > 12c,0,blocked,2026-06-16T19:41:20.832138,2026-06-16T19:43:20.905667,MIA@PHI|KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA3|trailing_team_total_lag_watch|4|top|0|7|blocked|wide_spread_hard_block: spread=55c > 12c|35,2026-06-16T19:41:20.832102,2026-06-16T19:43:20.905667,2,0,36,36,1,0.0,0.36,"Market moved +36¢ from open (0¢ → 36¢). Spread is 55¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1007,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM6,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,top,3,0,4,,10,46,,,36,,25.0,48.0,0.0,15.0,34.6,"{""market_mismatch"": 25.0, ""baseball_support"": 48.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 34.6}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=36c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=36c > 12c,0,blocked,2026-06-16T19:40:20.816293,2026-06-16T19:40:20.816293,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM6|trailing_team_total_lag_watch|2|top|0|4|blocked|wide_spread_hard_block: spread=36c > 12c|30,2026-06-16T19:40:20.816247,2026-06-16T19:40:20.816247,1,44,28,-16,1,0.44,0.28,"Market moved -16¢ from open (44¢ → 28¢). Spread is 36¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1006,trailing_team_total_lag_watch,823451,MIA@PHI,KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA2,KXMLBTEAMTOTAL-26JUN161840MIAPHI,team_total,full_game,MIA,,YES,,,,trailing_team_total_lag,MIA trails 7-0 in inning 4; team total may be lagging,4,top,1,0,7,,38,74,,,36,,25.0,50.0,0.0,15.0,35.2,"{""market_mismatch"": 25.0, ""baseball_support"": 50.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 35.2}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": 0.0, ""final_baseball_support_score"": 50.0, ""support_reasons"": [], ""contradiction_reasons"": [], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=36c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=36c > 12c,0,blocked,2026-06-16T19:40:20.615768,2026-06-16T19:40:20.615768,MIA@PHI|KXMLBTEAMTOTAL-26JUN161840MIAPHI-MIA2|trailing_team_total_lag_watch|4|top|0|7|blocked|wide_spread_hard_block: spread=36c > 12c|55,2026-06-16T19:40:20.615742,2026-06-16T19:40:20.615742,1,0,56,56,1,0.0,0.56,"Market moved +56¢ from open (0¢ → 56¢). Spread is 36¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
1005,trailing_team_total_lag_watch,824504,NYM@CIN,KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM6,KXMLBTEAMTOTAL-26JUN161910NYMCIN,team_total,full_game,NYM,,YES,,,,trailing_team_total_lag,NYM trails 4-0 in inning 2; team total may be lagging,2,top,3,0,4,,10,60,,,50,,25.0,48.0,0.0,15.0,34.6,"{""market_mismatch"": 25.0, ""baseball_support"": 48.0, ""execution_quality"": 0.0, ""risk_blocker"": 15.0, ""overall_watch"": 34.6}","{""baseball_support_base"": 50.0, ""play_event_adjustment"": 0.0, ""team_context_adjustment"": -2.0, ""final_baseball_support_score"": 48.0, ""support_reasons"": [], ""contradiction_reasons"": [""NYM_offense=41""], ""missing_context_reasons"": []}",,"{""passed"": false, ""blocked_reason"": ""wide_spread_hard_block: spread=50c > 12c"", ""warnings"": [], ""guardrails_checked"": [""semantics_unclear"", ""horizon_mismatch"", ""missing_bid_ask"", ""wide_spread_hard_block""]}",wide_spread_hard_block: spread=50c > 12c,0,blocked,2026-06-16T19:39:20.600602,2026-06-16T19:39:20.600602,NYM@CIN|KXMLBTEAMTOTAL-26JUN161910NYMCIN-NYM6|trailing_team_total_lag_watch|2|top|0|4|blocked|wide_spread_hard_block: spread=50c > 12c|35,2026-06-16T19:39:20.600555,2026-06-16T19:39:20.600555,1,44,35,-9,1,0.44,0.35,"Market moved -9¢ from open (44¢ → 35¢). Spread is 50¢ (wide, hard-blocked). First observed baseline, not confirmed open.",first_discovery,medium,team_total,team_total_lag,team_total,Team total selected because the read is specific to one trailing team's remaining scoring path.,"[{""derivative_type"": ""fg_total"", ""reason"": ""full-game total includes leading team; read is team-specific""}, {""derivative_type"": ""fg_spread"", ""reason"": ""read is about trailing team's scoring, not game margin""}, {""derivative_type"": ""f5_total"", ""reason"": ""trailing team read is late-game, not F5 window""}]"
